Date : 2026-04-02 21:04:18
Directory : /Users/eric/projects/lynxus
Total : 226 files,  45302 codes, 204 comments, 5549 blanks, all 51055 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Java               |         99 |     16,945 |          8 |      1,786 |     18,739 |
| Python             |          9 |      7,955 |         72 |        924 |      8,951 |
| vue                |         21 |      4,921 |          0 |        380 |      5,301 |
| Markdown           |         32 |      4,092 |          0 |      1,246 |      5,338 |
| YAML               |          8 |      3,899 |          0 |        338 |      4,237 |
| TypeScript         |         29 |      3,499 |          9 |        397 |      3,905 |
| toml               |          1 |      1,389 |          0 |         67 |      1,456 |
| PostCSS            |          2 |      1,184 |         44 |        199 |      1,427 |
| HTML               |          2 |        525 |          0 |         31 |        556 |
| MS SQL             |          5 |        314 |          0 |         42 |        356 |
| JavaScript         |          1 |        246 |         15 |         39 |        300 |
| Shell Script       |          9 |        201 |         24 |         70 |        295 |
| JSON               |          3 |         51 |          0 |          3 |         54 |
| Batch              |          1 |         40 |         32 |         22 |         94 |
| JSON with Comments |          2 |         31 |          0 |          2 |         33 |
| Java Properties    |          2 |         10 |          0 |          3 |         13 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                |        226 |     45,302 |        204 |      5,549 |     51,055 |
| . (Files)                                                                                                                        |          9 |      3,160 |         32 |        598 |      3,790 |
| .claude                                                                                                                          |          2 |         18 |          0 |          2 |         20 |
| apps                                                                                                                             |        163 |     32,438 |         89 |      3,398 |     35,925 |
| apps/agent-runtime                                                                                                               |          5 |      5,687 |         14 |        601 |      6,302 |
| apps/agent-runtime (Files)                                                                                                       |          1 |         42 |          0 |         22 |         64 |
| apps/agent-runtime/app                                                                                                           |          2 |      3,203 |          0 |        394 |      3,597 |
| apps/agent-runtime/tests                                                                                                         |          2 |      2,442 |         14 |        185 |      2,641 |
| apps/api                                                                                                                         |         82 |     14,752 |          8 |      1,542 |     16,302 |
| apps/api/src                                                                                                                     |         82 |     14,752 |          8 |      1,542 |     16,302 |
| apps/api/src/main                                                                                                                |         62 |     10,595 |          6 |      1,079 |     11,680 |
| apps/api/src/main/java                                                                                                           |         55 |     10,222 |          6 |      1,030 |     11,258 |
| apps/api/src/main/java/com                                                                                                       |         55 |     10,222 |          6 |      1,030 |     11,258 |
| apps/api/src/main/java/com/lynxus                                                                                                |         55 |     10,222 |          6 |      1,030 |     11,258 |
| apps/api/src/main/java/com/lynxus/platform                                                                                       |         55 |     10,222 |          6 |      1,030 |     11,258 |
| apps/api/src/main/java/com/lynxus/platform (Files)                                                                               |          1 |         11 |          0 |          3 |         14 |
| apps/api/src/main/java/com/lynxus/platform/adapters                                                                              |          1 |        110 |          0 |         13 |        123 |
| apps/api/src/main/java/com/lynxus/platform/auth                                                                                  |         22 |        972 |          0 |        143 |      1,115 |
| apps/api/src/main/java/com/lynxus/platform/catalog                                                                               |          7 |      3,739 |          6 |        368 |      4,113 |
| apps/api/src/main/java/com/lynxus/platform/config                                                                                |          1 |         14 |          0 |          3 |         17 |
| apps/api/src/main/java/com/lynxus/platform/knowledge                                                                             |          7 |      1,096 |          0 |        148 |      1,244 |
| apps/api/src/main/java/com/lynxus/platform/runtime                                                                               |          9 |      3,979 |          0 |        301 |      4,280 |
| apps/api/src/main/java/com/lynxus/platform/shared                                                                                |          6 |        274 |          0 |         47 |        321 |
| apps/api/src/main/java/com/lynxus/platform/shared (Files)                                                                        |          3 |         47 |          0 |         11 |         58 |
| apps/api/src/main/java/com/lynxus/platform/shared/logging                                                                        |          3 |        227 |          0 |         36 |        263 |
| apps/api/src/main/java/com/lynxus/platform/system                                                                                |          1 |         27 |          0 |          4 |         31 |
| apps/api/src/main/resources                                                                                                      |          7 |        373 |          0 |         49 |        422 |
| apps/api/src/main/resources (Files)                                                                                              |          2 |         59 |          0 |          7 |         66 |
| apps/api/src/main/resources/db                                                                                                   |          5 |        314 |          0 |         42 |        356 |
| apps/api/src/main/resources/db/migration                                                                                         |          5 |        314 |          0 |         42 |        356 |
| apps/api/src/test                                                                                                                |         20 |      4,157 |          2 |        463 |      4,622 |
| apps/api/src/test/java                                                                                                           |         20 |      4,157 |          2 |        463 |      4,622 |
| apps/api/src/test/java/com                                                                                                       |         20 |      4,157 |          2 |        463 |      4,622 |
| apps/api/src/test/java/com/lynxus                                                                                                |         20 |      4,157 |          2 |        463 |      4,622 |
| apps/api/src/test/java/com/lynxus/platform                                                                                       |         20 |      4,157 |          2 |        463 |      4,622 |
| apps/api/src/test/java/com/lynxus/platform/auth                                                                                  |          9 |        963 |          0 |        142 |      1,105 |
| apps/api/src/test/java/com/lynxus/platform/catalog                                                                               |          2 |      1,134 |          2 |        108 |      1,244 |
| apps/api/src/test/java/com/lynxus/platform/knowledge                                                                             |          2 |        258 |          0 |         28 |        286 |
| apps/api/src/test/java/com/lynxus/platform/runtime                                                                               |          6 |      1,709 |          0 |        174 |      1,883 |
| apps/api/src/test/java/com/lynxus/platform/shared                                                                                |          1 |         93 |          0 |         11 |        104 |
| apps/api/src/test/java/com/lynxus/platform/shared/logging                                                                        |          1 |         93 |          0 |         11 |        104 |
| apps/knowledge-service                                                                                                           |          3 |      2,146 |         58 |        313 |      2,517 |
| apps/knowledge-service/app                                                                                                       |          2 |      1,559 |         58 |        246 |      1,863 |
| apps/knowledge-service/tests                                                                                                     |          1 |        587 |          0 |         67 |        654 |
| apps/web                                                                                                                         |         53 |      8,151 |          9 |        764 |      8,924 |
| apps/web (Files)                                                                                                                 |          5 |        171 |          8 |         15 |        194 |
| apps/web/src                                                                                                                     |         48 |      7,980 |          1 |        749 |      8,730 |
| apps/web/src (Files)                                                                                                             |          5 |        339 |          1 |         62 |        402 |
| apps/web/src/components                                                                                                          |          5 |        591 |          0 |         46 |        637 |
| apps/web/src/composables                                                                                                         |          6 |        801 |          0 |         87 |        888 |
| apps/web/src/config                                                                                                              |          2 |        186 |          0 |         13 |        199 |
| apps/web/src/layouts                                                                                                             |          1 |         67 |          0 |          8 |         75 |
| apps/web/src/orchestration                                                                                                       |          2 |        210 |          0 |         32 |        242 |
| apps/web/src/pages                                                                                                               |         20 |      4,596 |          0 |        373 |      4,969 |
| apps/web/src/router                                                                                                              |          1 |         53 |          0 |          5 |         58 |
| apps/web/src/services                                                                                                            |          2 |        391 |          0 |         32 |        423 |
| apps/web/src/types                                                                                                               |          3 |        649 |          0 |         76 |        725 |
| apps/web/src/utils                                                                                                               |          1 |         97 |          0 |         15 |        112 |
| apps/worker                                                                                                                      |         20 |      1,702 |          0 |        178 |      1,880 |
